keyword,tfidf_score
app,600.652179899489
easy,156.75469133385948
nice,138.1986341823119
bank,136.01717828535604
application,135.7703649112985
update,124.36926976926802
cbe,101.93385545919436
fast,94.74379999600737
banking,92.26291369332209
time,84.20324855720466
service,77.54324686106938
transaction,76.84552657296737
mobile,76.66471913910648
apps,60.00843903235029
money,59.86347868999657
simple,58.60539092477212
account,56.9162896533375
nice app,56.724911078539044
amazing,55.25413623536223
transfer,54.37561664665924
mobile banking,54.368851038509895
ethiopia,50.02723402485484
version,49.567646235681906
transactions,49.126914818935475
love,47.154507534183516
bad,45.12352035554667
wow,43.35037061395495
banking app,39.17725264356762
excellent,38.763606733262435
worst,38.606363149016815
user,38.214205084449326
balance,37.77181867719
properly,36.87557216157328
option,36.14200140181312
slow,35.207790281016514
network,32.3402708817566
add,31.71007705473274
phone,30.612220092563067
code,30.362805071714373
friendly,30.21366166981336
life,30.194328645214018
developer,29.843821458436917
poor,29.729550542367136
dashen,29.42450313955133
sync,27.80591031298754
verification,27.76420251565501
previous,27.74378745118093
times,27.73944292149008
experience,27.349404710207725
super,27.051009677314884
features,26.910409602503513
job,26.488931859524556
boa,26.285985550745014
banks,26.01842007263078
updated,25.50642574704034
services,24.788408852020765
access,24.69899875027841
download,24.495536122152966
payment,24.207993787934363
perfect,24.053574934112223
error,23.94648893267961
reliable,23.82080976467399
security,23.720157057292703
app easy,23.643919072669465
send,23.521958569282504
history,23.353475455686528
birr,22.5939302858386
fantastic,22.309379335013485
happy,22.189806249137916
convenient,21.38424388094782
crashes,21.3305650248596
helpful,21.147170325189382
amazing app,20.82309121105114
user friendly,20.644412494813764
days,20.560824411605125
branch,20.53439586832126
worst app,20.229847153737463
customer,20.090939448861636
functional,20.0610849388024
screenshot,19.918107494327085
issue,19.573137391674365
commercial,19.52081230409639
crashing,19.143009092185785
bank ethiopia,19.131932769067962
secure,18.513628619663567
connection,18.474019915867625
active,17.919725805734704
easy fast,17.73224865723001
awesome,17.622830632310407
wonderful,17.416385079019562
digital,17.24459686784925
day,17.22237365823096
dashen bank,17.02268514373189
customers,16.867238850273537
options,16.806724464529772
accounts,16.70386112112755
telebirr,16.420972831595
update app,16.32596420664015
improve,16.2528925905003
step,16.16632960977583
statement,16.128763420166187
android,15.953569894240157
lot,15.868183462641557
useless,15.509801172198111
feature,15.49214893597512
pin,15.387767429994279
key,15.267107170406687
star,15.15317632829032
country,14.97648759951412
save,14.96990030693507
ethiopian,14.865118152736816
difficult,14.864677796028055
annoying,14.818928140471622
pay,14.775805397732519
device,14.735926343833695
week,14.63129409541905
app cbe,14.600193803629528
reason,14.46273676279786
commercial bank,14.457119472084932
interface,14.24270440994791
faster,14.154081061349975
solve,14.06902011071101
improved,14.04256232590753
comfortable,14.001883724142418
updates,13.886384236344767
fine,13.852674131459988
bugs,13.843283762894492
super app,13.74508173902494
improvement,13.721185005909156
speed,13.658563021879488
login,13.644846732781286
bug,13.626844454847184
verification code,13.525576320506755
app update,13.471102950511478
mobile app,13.361371360339168
cbe app,13.35677905386347
safe,13.319948387588505
excellent app,13.313385206778685
easily,13.218911657432994
smart,13.038911459164304
financial,12.975643288649664
people,12.906028676323007
satisfied,12.840064209799106
internet,12.752094514667267
failed,12.71581160290237
include,12.714880837424445
app app,12.610113924590195
updating,12.512997353523888
mode,12.367485970985085
pls,12.356951427688664
support,12.327654494842605
app ethiopia,12.32083030394313
message,12.281750624689986
password,12.223630768197596
smooth,12.209193024462428
easier,12.195398537549137
takes,12.173389237338444
bad app,12.10932731496652
check,12.019528275533538
list,12.013968980280222
unable,11.883118765606797
transfer money,11.867823011194236
upgrade,11.855322360454721
issues,11.796573623209557
fast easy,11.785529781979006
transaction history,11.721897762153343
guys,11.651350626618918
love app,11.526754261810964
hope,11.520044301189856
load,11.478123054576672
receipt,11.377504447487855
online,11.34342573717049
cool,11.176836556406851
stopped,11.169592129357286
developer option,11.074255170916164
data,10.85683679577949
life easy,10.831676304528237
app bank,10.8108633115767
easy app,10.709735747837296
disappointing,10.693225429917002
ui,10.671362100396564
change,10.572477161722889
app simple,10.539537293522159
developers,10.538880126519906
fixed,10.399757646269551
rooted,10.394441014982688
transferring,10.340713566823073
users,10.197622448677784
userfriendly,10.162004770480785
stops,10.056128247900908
app fast,10.037671050443185
loading,9.965470076089874
app love,9.959998872696733
